Hylak_id,year,lake,ct,lndu,developed,forest,cultivated,wetlands,water,barren,shrubland,herbaceous,depthf,areaf,depth,area,elev,eutro,oligo,dys,RT,WshA,dep_avg,trophic
1023444,1984,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.4116828426259205,0.4935970495535013,0.09472011775468564,5867,0.7,3.3,oligo
1023444,1985,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.3979758823391696,0.4989809369392054,0.10304319313925932,5867,0.7,3.3,oligo
1023444,1986,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.20329407367766603,0.6960296329146151,0.10067630334182633,5867,0.7,3.3,oligo
1023444,1987,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.2383571108539088,0.7002605314533492,0.06138232168160251,5867,0.7,3.3,oligo
1023444,1988,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.7096779503301527,0.2378700230919897,0.05245200919316958,5867,0.7,3.3,eutro
1023444,1989,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.10812331768349814,0.812950930538804,0.07892575674475165,5867,0.7,3.3,oligo
1023444,1990,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.1555650895284167,0.8021721591445199,0.04226274387648284,5867,0.7,3.3,oligo
1023444,1991,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.13231634084460137,0.8124449415298018,0.0552387139003065,5867,0.7,3.3,oligo
1023444,1992,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.2904128702840264,0.5131248542723396,0.19646226054247284,5867,0.7,3.3,oligo
1023444,1993,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.05563782821431132,0.8425114687779416,0.1018507253594889,5867,0.7,3.3,oligo
1023444,1994,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.2715701073702738,0.6260794882632721,0.1023504093335078,5867,0.7,3.3,oligo
1023444,1995,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.2954428356756875,0.6155427873474524,0.08901437200980632,5867,0.7,3.3,oligo
1023444,1996,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.0999512553987327,0.8091144604986019,0.09093428782795564,5867,0.7,3.3,oligo
1023444,1997,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.06091017798111752,0.8806834945623495,0.05840634732474789,5867,0.7,3.3,oligo
1023444,1998,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.16432406645527067,0.7471137199709055,0.08856221605735075,5867,0.7,3.3,oligo
1023444,1999,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.15224619411911633,0.762974255719079,0.08477954767827782,5867,0.7,3.3,oligo
1023444,2000,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.2572836056224798,0.6803054317384496,0.06241095146319976,5867,0.7,3.3,oligo
1023444,2001,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.3978372867593861,0.5335689514820012,0.06859377665977386,5867,0.7,3.3,oligo
1023444,2002,nhdhr_120020805,Heavy consumption,developed,0.421965317919,0.236994219654,0.135838150289,0.118497109827,0.080924855491,0.00289017341,0,0.00289017341,"(10,15]","(1e+05,1e+06]",14.325600000000009,460922.581227027,320,0.4528522395226493,0.4844894952187763,0.06265824539035955,5867,0.7,3.3,oligo
